text,label
"eita, esse pad thai é impecável! amei ❤️ @ZehDelivery #delicia #amominhavida",positive
"@iFood Embalagem top, bem quente ainda, crepe com sabor show. Nota 10! #sextou #recomendo",positive
@BurgerKingBR vieram com bilhetinho fofo e o porção de calabresa tava nota 10! que atendimento ❤️ kkkkkk #perfeito #sextou,positive
@ZehDelivery pedido de madrugada e mesmo assim o sashimi veio surreal. veio rapidinho! #sextou #fome,positive
Tutu de feijão razoável. @Almoco #ok #jantar,neutral
@ReclameAQUI paguei r$90 num pizza calabresa que não vale nem r$15. ridículo! #procon #indignado,negative
@Mcdonalds_BR Pedi brownie pra família toda e todo mundo adorou! Incrível. show de bola #amominhavida #perfeito,positive
@BurgerKingBR pedi pizza doce pra família toda e todo mundo adorou! surreal. podem pedir kkkkk #delicia #recomendo,positive
Combo lanche até que tava bom mas embalagem poderia ser melhor. nada a declarar @iFood #almoço #jantar,neutral
"@Fome Pizza doce quase bom, falta tempero. Nada demais #delivery #ok",neutral
Pqp! Esse coxinha me fez chorar de tão bom  já virou meu favorito @SushidaEsquina #recomendo #amominhavida,positive
esfiha aberta um desastre 👎👎 @ProconSP #procon #nuncaMais,negative
"@iFood comida temperatura perfeita, bem embalado. sanduíche natural 10/10! #comidaboa #delicia",positive
@ProconSP Espetinho com textura estranha. Deplorável! péssima experiência #indignado #decepcao,negative
"@Delivery Crepe igual qualquer outro do bairro. Aceitável, sem destaque #delivery #comida",neutral
@Fome esperava melhor do wrap mas veio serve. sei lá #almoço #jantar,neutral
"@PizzaFria slk, achei sujeira no meu quibe! sem noção 😑 não volto nunca mais #procon #descaso",negative
Tudo vazou! Sanduíche natural todo amassado. arrependimento puro @ReclameAQUI #descaso #procon,negative
"Pedido incompleto, faltou o acompanhamento. Tapioca ainda veio inaceitável @iFoodBrasil #fome #indignado",negative
"pizza top, entrega super rápida, barato pelo que entrega  😊 haha @Mcdonalds_BR #fome #amominhavida",positive
@RestauranteFavorito Pedido de madrugada e mesmo assim o esfiha aberta veio surpreendente. motoboy gente boa demais! #recomendo #amominhavida,positive
Kafta até bom mas roubaram no preço. No geral mais ou menos @Almoco #comida #almoço,neutral
Veio pelo caminho mais longo possível e o pizza 4 queijos chegou frio. 😡😡 @ProconSP #indignado #pessimo,negative
Já é a sexta vez que peço crepe aqui. Sempre sublime! @Mcdonalds_BR #comidaboa #fome,positive
@BurgerKingBR Vieram com bilhetinho fofo e o palha italiana tava show! Que atendimento ❤️ #delicia #fome,positive
@AtendimentoRuim veio todo revirado! quibe todo amassado. péssimo atendimento #decepcao #fome,negative
pizza portuguesa veio com sangue! quase passei mal 😠 @iFoodBrasil #pessimo #descaso,negative
"@RestauranteFavorito Melhor sanduíche natural que já pedi no iFood. Perfeito, chegou antes do previsto #delicia #fome",positive
"Empada quase bom, falta tempero. Normal @Almoco #delivery #comida",neutral
uramaki veio um desastre e o suporte do ifood não resolveu nada. decepção total @AtendimentoRuim #fome #nuncaMais,negative
"@BurgerKingBR Comida chegou qntinho, nada vazou. Esfiha aberta excelente! #comidaboa #perfeito",positive
"pedi sashimi por falta de opção. veio mediano, nada que me faça pedir de novo @Almoco #almoço #ok",neutral
hambúrguer com excesso de sal. impossível comer 😡 @ReclameAQUI #procon #descaso,negative
Cheesecake normal. é isso @iFood #ifood #jantar,neutral
"@iFood Chegou em 15 min, dadinhos de tapioca chegou maravilhoso. melhor do bairro ahahah #perfeito #amominhavida",positive
"@iFood bicho, esse nhoque é demais! amei ❤️ #fome #delicia",positive
embalagem aberta! virado à paulista todo revirado. nunca mais peço @ProconSP #indignado #decepcao,negative
"sei lá, bolinho de bacalhau é o que é. n tenho muito o que falar blz @iFood #delivery #ifood",neutral
"Comida temperatura perfeita, embalagem caprichada. Marmita impecável! @iFood #amominhavida #comidaboa",positive
açaí no copo básico... @Almoco #almoço #comida,neutral
"@iFood comida temperatura perfeita, embalagem top. uramaki absurdamente bom! ahahah #recomendo #delicia",positive
@Delivery marmitex é o que é. 🤷 #jantar #ok,neutral
"lasanha serve, né @Fome #ifood #almoço",neutral
"@PizzaFria Pedido incompleto, faltou a sobremesa. Feijoada ainda veio uma porcaria 😒 #fome #indignado",negative
"Embalagem caprichada, chegou quentinho, sashimi com sabor de cair o queixo. Nota 10! @BurgerKingBR #delicia #perfeito",positive
tudo vazou! marmitex todo revirado. 🤮 @ReclameAQUI #nuncaMais #fome,negative
@Mcdonalds_BR vieram com bilhetinho fofo e o pizza margherita tava magistral! que atendimento ❤️ #comidaboa #fome,positive
"@Delivery Peço virado à paulista aki quando não tem nada melhor. É nada demais sempre, constante pelo menos #jantar #delivery",neutral
@iFood puts! esse yakisoba me fez chorar de tão bom  já virou meu favorito rsrs #comidaboa #recomendo,positive
"Motoboy gente boa demais, marmita chegou incrível. vou pedir sempre ahahah @Mcdonalds_BR #sextou #comidaboa",positive
pedi crepe pra família toda e todo mundo adorou! sensacional. parabéns ao chef 👨‍🍳 @SushidaEsquina #delicia #amominhavida,positive
"pão de queijo quase bom, falta tempero. normal @Fome #almoço #comida",neutral
amigo indicou esse tapioca e realmente é sublime. nota 10 merecida @Mcdonalds_BR #sextou #perfeito,positive
"@ZehDelivery Nada vazou, bem quente ainda, pão de queijo com sabor maravilhoso. Nota 10! #delicia #perfeito",positive
Pedi risoto pra família toda e todo mundo adorou! Divino. vale muito a pena kkkkk @BurgerKingBR #perfeito #delicia,positive
@RestauranteFavorito Primeira vez pedindo temaki aqui e já virou favorito. Show! vou pedir sempre kkk #comidaboa #amominhavida,positive
Gyoza nada demais. tanto faz @Almoco #ok #delivery,neutral
Cachorro quente até que tava bom mas podia ser maior. foi isso @iFood #ifood #ok,neutral
"@iFood sei lá, ramen não empolga. n tenho muito o que falar sem mais #comida #almoço",neutral
"@iFood Peço picanha aqui quando n tem nada melhor. É meh sempre, constante pelo menos #comida #almoço",neutral
@Almoco Meus amigos adoram o virado à paulista daqui mas eu acho é o que é. Vai de cada um whatever #delivery #comida,neutral
esperava menos do combo família mas veio normal. 🤷‍♂️ @iFood #ok #delivery,neutral
Crepe até bom mas preço absurdo. No geral aceitável @iFood #comida #ifood,neutral
@BurgerKingBR Amigo indicou esse sorvete e realmente é divino. recomendo demais 👏 #fome #perfeito,positive
"@RestauranteFavorito Sábado à noite pedi nhoque e não me arrependi! De cair o queixo, entrega super rápida. amei ❤️ #comidaboa #amominhavida",positive
@ZehDelivery Não esperava muito mas o pizza doce me surpreendeu demais! Impecável #comidaboa #recomendo,positive
"Bem embalado, chegou quentinho, yakisoba com sabor de outro nível. Nota 10! @BurgerKingBR #recomendo #comidaboa",positive
hambúrguer até que tava bom mas entrega demorou. sem mais @Almoco #delivery #jantar,neutral
"Tudo organizadinho, chegou quentinho, frango à passarinho com sabor impecável. Nota 10! @iFood #recomendo #amominhavida",positive
"uai, esse polenta frita é nota 10! recomendo pra geral @Mcdonalds_BR #fome #comidaboa",positive
amigo indicou esse polenta frita e realmente é melhor q já comi. 😍😍 @Mcdonalds_BR #sextou #perfeito,positive
"@AtendimentoRuim Salada nada a ver com a foto do cardápio. Nojento, fiquei com fome. lamentável #indignado #nuncaMais",negative
"peço bolinho de bacalhau aqui quando não tem nada melhor. é serve sempre, constante pelo menos @Almoco #delivery #ifood",neutral
Vieram com bilhetinho fofo e o espetinho tava nota mil! Que atendimento ❤️ kkkkkk @SushidaEsquina #fome #recomendo,positive
"comida bem quente ainda, tudo organizadinho. x-tudo sensacional! @BurgerKingBR #sextou #perfeito",positive
"@Delivery Pedi lasanha por falta de opção. Veio é o que é, nada que me faça pedir de novo #ok #delivery",neutral
"@ReclameAQUI Pedido incompleto, faltou metade do pedido. Hambúrguer ainda veio nojento 😠 #fome #decepcao",negative
"@Delivery tutu de feijão quase bom, falta carinho. meh #almoço #comida",neutral
Picanha veio intragável e o suporte do iFood não resolveu nada. uma vergonha @iFoodBrasil #procon #pessimo,negative
"Isca de frango nada a ver com a foto do cardápio. Péssimo, quantidade ridícula. nunca mais peço @AtendimentoRuim #procon #pessimo",negative
@Mcdonalds_BR não esperava muito mas o tropeiro me surpreendeu dms! nota mil #delicia #fome,positive
@PizzaFria Veio todo revirado! Pastel todo misturado. fiquei p da vida #decepcao #indignado,negative
"comida chegou quentinho, embalagem top. batata frita show! @Mcdonalds_BR #recomendo #amominhavida",positive
@RestauranteFavorito vieram com bilhetinho fofo e o frango à passarinho tava 10/10! que atendimento ❤️ rs #fome #comidaboa,positive
@ZehDelivery tropeiro de outro nível #comidaboa #recomendo,positive
@iFood Opa! Esse burrito me fez chorar de tão bom  continuem assim! kkkkkk #perfeito #amominhavida,positive
@RestauranteFavorito pedido de madrugada e mesmo assim o bolinho de bacalhau veio 10/10. entregador muito educado! #amominhavida #sextou,positive
tropeiro mais ou menos. tá bom né rs @Delivery #ifood #delivery,neutral
Paguei R$80 num tropeiro que não vale nem R$20. Sem noção! @ProconSP #procon #pessimo,negative
"@RestauranteFavorito Sábado à noite pedi strogonoff e não me arrependi! Nota 10, delivery nota 10. recomendo demais 👏 #comidaboa #sextou",positive
@RestauranteFavorito Bobó de camarão de outro nível 😍 #comidaboa #delicia,positive
"@RestauranteFavorito caramba, esse bobó de camarão é sublime! podem pedir rsrs #sextou #recomendo",positive
@ReclameAQUI Quantidade ridícula de torta salgada e muito caro pra pouca comida. fiquei p da vida #fome #indignado,negative
@iFoodBrasil açaí no copo com cheiro ruim. inadmissível! arrependimento puro #fome #nuncaMais,negative
@ZehDelivery Pedi shawarma pra família toda e todo mundo adorou! Excelente. já virou meu favorito #sextou #perfeito,positive
"Oxe, esse bauru é uma tristeza! 🤮 @ProconSP #procon #nuncaMais",negative
Paguei R$80 num pizza que não vale nem R$20. Sofrível! @iFoodBrasil #decepcao #indignado,negative
Motoboy jogou na porta e o pad thai chegou revirado. 🤮 @iFoodBrasil #fome #pessimo,negative
"Churros igual qualquer outro do bairro. Mediano, sem destaque @iFood #comida #ifood",neutral
"@ZehDelivery ai ai, esse feijoada é melhor que já comi! vou pedir sempre #perfeito #sextou",positive
Comi gyoza e passei mal a noite toda. Comida estragada. 😡😡 @ReclameAQUI #decepcao #descaso,negative
"@iFood Pedi pizza margherita por falta de opção. Veio mediano, nada que me faça pedir de novo rsrs #almoço #jantar",neutral
"n é ruim mas tbm não é bom. dadinhos de tapioca mediano, sem mais @Delivery #ifood #almoço",neutral
"@RestauranteFavorito Melhor açaí no copo que já pedi no iFood. Sublime, chegou voando #perfeito #recomendo",positive
"Pedi arroz carreteiro por falta de opção. Veio nada demais, nada que me faça pedir de novo @iFood #jantar #almoço",neutral
@ReclameAQUI dadinhos de tapioca inadmissível e ainda por cima não vale o preço. nunca mais peço #fome #decepcao,negative
@BurgerKingBR Porção enorme e sabor delicioso. Custo benefício ótimo. top top top #perfeito #amominhavida,positive
@SushidaEsquina combo lanche com tempero perfeito e preço justo. não vão se arrepender #delicia #perfeito,positive
"@iFood Não é ruim mas tbm não é bom. Bobó de camarão é o que é, ok né #delivery #ok",neutral
@iFoodBrasil Pedi combo família e veio X-tudo. Tudo errado! péssima experiência #indignado #nuncaMais,negative
"@RestauranteFavorito Sábado à noite pedi costela e não me arrependi! Fantástico, delivery nota 10. show de bola #sextou #comidaboa",positive
"peço pão de queijo aqui quando não tem nada melhor. é nada demais sempre, constante pelo menos @Almoco #delivery #ifood",neutral
pedido de madrugada e mesmo assim o feijoada veio sublime. chegou voando! @Mcdonalds_BR #comidaboa #delicia,positive
@ReclameAQUI Salada lixo 💩 🤮 #decepcao #nuncaMais,negative
costela nota 10 ahahah @ZehDelivery #perfeito #recomendo,positive
"embalagem top, bem quente ainda, cachorro quente com sabor sensacional. nota 10! @SushidaEsquina #recomendo #delicia",positive
já é a quinta vez que peço quibe aqui. sempre fora de série! @RestauranteFavorito #delicia #recomendo,positive
@ReclameAQUI Pizza portuguesa veio cru! Quase passei mal #indignado #pessimo,negative
"@ZehDelivery embalagem top, bem quente ainda, espetinho com sabor surpreendente. nota 10! #fome #delicia",positive
@ZehDelivery Amigo indicou esse sashimi e realmente é nota mil. recomendo pra geral kkk #perfeito #amominhavida,positive
Veio bastante e sabor excelente. Custo benefício ótimo. ❤️🔥 @RestauranteFavorito #delicia #amominhavida,positive
@iFood Esperava diferente do yakisoba mas veio é o que é. tanto faz kk #ifood #jantar,neutral
"Comida temperatura perfeita, nada vazou. Torta salgada excelente! @SushidaEsquina #fome #delicia",positive
"@SushidaEsquina Veio rapidinho, temaki chegou fora de série. vou pedir sempre #fome #perfeito",positive
"@Mcdonalds_BR puts, esse tropeiro é excelente! parabéns ao chef 👨‍🍳 #fome #recomendo",positive
@iFoodBrasil feijoada com tempero exagerado. impossível comer #pessimo #decepcao,negative
Amigo indicou esse yakisoba e realmente é chef's kiss. nota 10 merecida @Mcdonalds_BR #delicia #sextou,positive
"Puts, achei um fio no meu pizza doce! Absurdo 👎👎 @AtendimentoRuim #decepcao #indignado",negative
@RestauranteFavorito tava morrendo de vontade de comer wrap e esse tava melhor que já comi! matou a vontade #amominhavida #perfeito,positive
@RestauranteFavorito não esperava muito mas o esfiha aberta me surpreendeu demais! absurdamente bão #delicia #sextou,positive
@RestauranteFavorito Açaí no copo com tempero especial e entrega rápida. melhor do bairro #comidaboa #recomendo,positive
"Melhor pizza que já pedi no iFood. De cair o queixo, veio rapidinho @Mcdonalds_BR #perfeito #recomendo",positive
"milk shake top, entrega super rápida, barato pelo que entrega  @BurgerKingBR #comidaboa #recomendo",positive
muito bem servido e sabor magistral. vale cada centavo. parabéns ao chef 👨‍🍳 ahahah @SushidaEsquina #recomendo #amominhavida,positive
@SushidaEsquina Já é a sexta vez que peço brownie aqui. Sempre show! kkkk #delicia #comidaboa,positive
@Mcdonalds_BR Não esperava muito mas o isca de frango me surpreendeu demais! Excelente  🥰 #fome #perfeito,positive
"@ReclameAQUI Dei mais uma chance pro milk shake deles e de novo veio sem condições. Dessa vez é definitivo, uma piada #decepcao #nuncaMais",negative
"pedi tapioca por falta de opção. veio serve, nada que me faça pedir de novo @Delivery #comida #ifood",neutral
@Fome Meus amigos adoram o lasanha daqui mas eu acho sem sal sem açúcar. Vai de cada um é isso #ok #comida,neutral
"sábado à noite pedi bauru e não me arrependi! perfeito, entregador muito educado. não vão se arrepender @BurgerKingBR #sextou #recomendo",positive
"@iFood nhoque top, chegou voando, preço justo  #comidaboa #recomendo",positive
@iFood esperava diferente do poke bowl mas veio meh. é isso #jantar #ifood,neutral
"nada vazou, chegou quentinho, torresmo com sabor divino. nota 10! @SushidaEsquina #perfeito #amominhavida",positive
"@iFood Meu, esse panqueca é fora de série! top top top haha #delicia #fome",positive
Quibe ridículo e ainda por cima preço absurdo. fiquei p da vida @ProconSP #indignado #procon,negative
vieram com bilhetinho fofo e o açaí no copo tava surreal! que atendimento ❤️ @ZehDelivery #amominhavida #sextou,positive
@iFoodBrasil virado à paulista inadmissível! fujam desse lugar #indignado #nuncaMais,negative
"@ZehDelivery Melhor quibe que já pedi no iFood. Delicioso, chegou voando haha #sextou #delicia",positive
"@Delivery Lasanha igual qualquer outro do bairro. Dá pro gasto, sem destaque #ok #jantar",neutral
@iFoodBrasil quibe inaceitável e ainda por cima roubaram no preço. 👎👎 #fome #procon,negative
"@SushidaEsquina Sábado à noite pedi cheesecake e não me arrependi! Sublime, motoboy gente boa demais. show de bola #sextou #perfeito",positive
vieram com bilhetinho fofo e o lasanha tava maravilhoso! que atendimento ❤️ kkkkk @RestauranteFavorito #perfeito #sextou,positive
"@BurgerKingBR Comida chegou quentinho, embalagem caprichada. Isca de frango perfeito! #recomendo #comidaboa",positive
@Mcdonalds_BR já é a quarta vez que peço pastel aqui. sempre demais! ahahah #comidaboa #recomendo,positive
@Mcdonalds_BR Primeira vez pedindo strogonoff aqui e já virou favorito. Perfeito! 🤤👏 rsrs #sextou #amominhavida,positive
tava morrendo de vontade de comer tutu de feijão e esse tava nota mil! matou a vontade @iFood #comidaboa #delicia,positive
@Fome prato executivo até bom mas não vale o preço. no geral não empolga #delivery #jantar,neutral
sanduíche natural até que tava bom mas preço meio alto. foi isso kkkk @Delivery #comida #almoço,neutral
@PizzaFria bauru com inseto. decepcionante! 0 estrelas se pudesse #descaso #pessimo,negative
beirute absurdo e ainda por cima roubaram no preço. quero meu dinheiro de volta @ProconSP #decepcao #indignado,negative
@iFood Meus amigos adoram o macarrão daqui mas eu acho tanto faz. Vai de cada um sem mais #comida #delivery,neutral
"Sábado à noite pedi picanha e não me arrependi! Delicioso, entrega super rápida. 😍😍 @ZehDelivery #recomendo #delicia",positive
@ProconSP prato executivo com mofo. inaceitável! vou denunciar #indignado #descaso,negative
"Embalagem caprichada, chegou quentinho, temaki com sabor absurdamente bom. Nota 10! @Mcdonalds_BR #fome #comidaboa",positive
Sacola rasgada! Torresmo todo misturado. péssima experiência @PizzaFria #procon #pessimo,negative
"crepe top, delivery surpreendeu, barato pelo que entrega  🥰 @RestauranteFavorito #comidaboa #recomendo",positive
tava morrendo de vontade de comer pizza calabresa e esse tava sublime! matou a vontade  🥰 @RestauranteFavorito #perfeito #sextou,positive
"Macarrão veio parecido com a foto, sabor tanto faz. nada a declarar kkk @Fome #jantar #ifood",neutral
já é a quinta vez que peço marmitex aqui. sempre impecável! @BurgerKingBR #recomendo #fome,positive
pedido de madrugada e mesmo assim o cachorro quente veio surreal. delivery surpreendeu! @iFood #fome #amominhavida,positive
"@RestauranteFavorito comida bem quente ainda, embalagem top. esfirra divino! #sextou #recomendo",positive
porção enorme e sabor surpreendente. custo benefício ótimo. parabéns ao chef 👨‍🍳 @SushidaEsquina #perfeito #fome,positive
@PizzaFria restaurante cancelou meu wrap depois de 60 min esperando. qro meu dinheiro de volta #descaso #fome,negative
"@RestauranteFavorito Pqp, esse feijoada é delicioso! ❤️🔥 #sextou #recomendo",positive
@ZehDelivery Vieram com bilhetinho fofo e o isca de frango tava chef's kiss! Que atendimento ❤️ #sextou #delicia,positive
"@iFoodBrasil Pedido incompleto, faltou a sobremesa. Bauru ainda veio sofrível #procon #fome",negative
@PizzaFria Churros com mofo. Inadmissível! péssimo atendimento #pessimo #procon,negative
@iFoodBrasil comi cheesecake e passei mal a noite toda. intoxicação alimentar. não volto nunca mais #indignado #fome,negative
demorou horrores e o empada chegou destruído. passem longe @ProconSP #indignado #decepcao,negative
@PizzaFria polenta frita decepcionante passem longe #indignado #procon,negative
tava morrendo de vontade de comer marmitex e esse tava nota 10! matou a vontade @SushidaEsquina #perfeito #comidaboa,positive
Gyoza terrível! péssimo atendimento @iFoodBrasil #decepcao #indignado,negative
@SushidaEsquina já é a quinta vez que peço x-tudo aqui. sempre surreal! #comidaboa #fome,positive
"@ZehDelivery Embalagem top, temperatura perfeita, churros com sabor demais. Nota 10! #delicia #comidaboa",positive
"@RestauranteFavorito tudo organizadinho, bem quente ainda, pizza 4 queijos com sabor sublime. nota 10! #sextou #recomendo",positive
"@RestauranteFavorito risoto top, veio rapidinho, custo benefício ótimo  #delicia #perfeito",positive
@Delivery yakisoba: sabor básico mas delivery nota 10. compensa mais pela entrega #comida #ok,neutral
"@BurgerKingBR Veio rapidinho, batata frita chegou nota 10. 😍😍 ahahah #fome #amominhavida",positive
"@Fome sei lá, espetinho tanto faz. n tenho muito o que falar tanto faz #ok #comida",neutral
@Almoco Entrega rápida pelo menos. Pizza nada d+ normal #ifood #ok,neutral
@Delivery Porção de calabresa até bom mas caro demais. No geral na média #comida #ifood,neutral
"@ReclameAQUI Pedido incompleto, faltou o acompanhamento. Brigadeiro ainda veio péssimo #procon #descaso",negative
"pedido incompleto, faltou o molho. cachorro quente ainda veio vergonhoso @ReclameAQUI #fome #indignado",negative
Bauru surreal @ZehDelivery #perfeito #comidaboa,positive
"@iFood peço nhoque aqui quando não tem nada melhor. é na média sempre, constante pelo menos #delivery #ifood",neutral
@ReclameAQUI Demorou mais de 1 hora e o isca de frango chegou destruído. fiquei p da vida #fome #nuncaMais,negative
"caldinho de feijão igual qualquer outro do bairro. nada demais, sem destaque @Fome #delivery #ok",neutral
"Nada vazou, chegou quentinho, combo lanche com sabor fora de série. Nota 10! kkk @SushidaEsquina #amominhavida #perfeito",positive
@Delivery burrito até que tava bom mas podia ser maior. vida que segue kkkk #delivery #jantar,neutral
"@Fome Pedi quibe por falta de opção. Veio meh, nada que me faça pedir de novo #ok #almoço",neutral
@Almoco sanduíche natural: sabor serve mas motoboy gente boa demais. compensa mais pela entrega #jantar #ok,neutral
"@Almoco peço lasanha aqui quando não tem nada melhor. é sem sal sem açúcar sempre, constante pelo menos #delivery #almoço",neutral
@Mcdonalds_BR primeira vez pedindo strogonoff aqui e já virou favorito. de cair o queixo! nota 10 merecida #comidaboa #recomendo,positive
@RestauranteFavorito Tava morrendo de vontade de comer brigadeiro e esse tava de cair o queixo! Matou a vontade  ❤️ #comidaboa #perfeito,positive
@ZehDelivery Não esperava muito mas o brownie me surpreendeu demais! Fantástico #delicia #comidaboa,positive
@iFoodBrasil Marmitex inaceitável e ainda por cima caro demais. nota 0 #procon #pessimo,negative
@SushidaEsquina vieram com bilhetinho fofo e o x-tudo tava chef's kiss! que atendimento ❤️ #amominhavida #recomendo,positive
"bah, achei cabelo no meu pizza 4 queijos! inaceitável péssima experiência @ReclameAQUI #pessimo #descaso",negative
"@ReclameAQUI Dei mais uma chance pro strogonoff deles e de novo veio ridículo. Dessa vez é definitivo, não volto nunca mais #decepcao #indignado",negative
"Picanha igual qualquer outro do bairro. Aceitável, sem destaque @iFood #almoço #ifood",neutral
"Vixi, achei um fio no meu açaí! Inadmissível 😭 fiquei p da vida @iFoodBrasil #pessimo #nuncaMais",negative
@iFoodBrasil Sanduíche natural nojento e ainda por cima não vale o preço. 👎👎 #descaso #procon,negative
"macarrão igual qualquer outro do bairro. sem sal sem açúcar, sem destaque @Delivery #ok #jantar",neutral
"Comida temperatura perfeita, bem embalado. Burrito de cair o queixo! @iFood #recomendo #fome",positive
Restaurante cancelou meu yakisoba depois de 40 min esperando. arrependimento puro @PizzaFria #pessimo #nuncaMais,negative
Feijoada com tempero exagerado. Impossível comer @AtendimentoRuim #decepcao #indignado,negative
Tava morrendo de vontade de comer wrap e esse tava divino! Matou a vontade  😋 @RestauranteFavorito #fome #perfeito,positive
@ZehDelivery quantidade boa demais e sabor absurdamente bom. preço honesto. voltarei com certeza #comidaboa #recomendo,positive
picanha meh. ok né @iFood #comida #ifood,neutral
@iFoodBrasil Strogonoff veio cru! Quase passei mal 😤 #fome #indignado,negative
"Chegou antes do previsto, strogonoff chegou fora de série. parabéns ao chef 👨‍🍳 @RestauranteFavorito #recomendo #amominhavida",positive
Milk shake uma piada de mau gosto e ainda por cima preço absurdo. não volto nunca mais @ProconSP #decepcao #nuncaMais,negative
@ZehDelivery Salada espetacular #fome #recomendo,positive
"peço isca de frango aqui quando não tem nd melhor. é ok sempre, constante pelo menos @Almoco #comida #delivery",neutral
@Fome Churrasco no box sem sal sem açúcar. vida que segue #almoço #ok,neutral
@Almoco tropeiro até bom mas caro d+. no geral nada demais #ok #delivery,neutral
"@iFood Espetinho veio parecido com a foto, sabor nada demais. tanto faz #delivery #ok",neutral
@iFood Meus amigos adoram o hot roll daqui mas eu acho mais ou menos. Vai de cada um nada a declarar #almoço #ifood,neutral
rapaz! esse risoto me fez chorar de tão bom  🙏 🤤👏 @RestauranteFavorito #recomendo #amominhavida,positive
comi sanduíche natural e passei mal a noite toda. intoxicação alimentar. lamentável @ProconSP #descaso #pessimo,negative
@SushidaEsquina lasanha com tempero especial e embalagem top. não vão se arrepender kkkkk #perfeito #comidaboa,positive
"Pedido incompleto, faltou o acompanhamento. Coxinha ainda veio absurdo @iFoodBrasil #fome #decepcao",negative
@Fome sanduíche natural mediano. whatever #comida #ifood,neutral
"@Almoco Peço açaí no copo aqui quando não tem nada melhor. É aceitável sempre, constante pelo menos #comida #almoço",neutral
"Bolinho de bacalhau veio parecido com a foto, sabor ok. foi isso kkkkk @Fome #ifood #delivery",neutral
@Almoco Esfiha aberta é o que é #jantar #comida,neutral
combo família com tempero exagerado. impossível comer 💔 @ProconSP #fome #descaso,negative
já é a sexta vez que peço hambúrguer aqui. sempre excelente! rsrs @SushidaEsquina #comidaboa #sextou,positive
Já é a quarta vez que peço tutu de feijão aqui. Sempre show! @iFood #fome #sextou,positive
@BurgerKingBR Kafta melhor que já comi #comidaboa #fome,positive
açaí no copo melhor que já comi! 10/10 sem dúvidas @SushidaEsquina #amominhavida #fome,positive
"@Mcdonalds_BR Comida bem quente ainda, nada vazou. Torta salgada fora de série! #sextou #fome",positive
"@PizzaFria pedido incompleto, faltou a sobremesa. kafta ainda veio intragável 👎 #nuncaMais #descaso",negative
"Bem embalado, temperatura perfeita, cuscuz com sabor surreal. Nota 10! @ZehDelivery #recomendo #comidaboa",positive
@AtendimentoRuim Acarajé péssimo! passem longe #decepcao #nuncaMais,negative
@Mcdonalds_BR pedido de madrugada e mesmo assim o cheesecake veio sublime. entregador muito educado! haha #perfeito #fome,positive
@iFoodBrasil yakisoba veio mal passado! quase passei mal #procon #pessimo,negative
não esperava muito mas o torresmo me surpreendeu demais! de cair o queixo @ZehDelivery #comidaboa #recomendo,positive
